id,lon,lat,name
1100112,8.06928,47.794517,"Bernau (Schw), Weierle Strasse"
1100113,8.033536,47.808464,"Bernau (Schw), Weierle"
1100114,8.062172,47.791588,Unterlehen (Schw)
1100115,8.058365,47.797004,"Bernau (Schw), Gass"
1100116,8.047053,47.78825,"Oberlehen (Schw), Thomahaus"
1100117,8.010146,47.805884,"Bernau (Schw), Schwendele"
1100118,8.034268,47.802345,"Innerlehen (Schw), Rathaus"
1100119,8.052101,47.797756,"Bernau (Schw), Altenrond"
1100120,8.046139,47.801565,Riggenbach (Schw)
1100121,8.049949,47.802129,"Riggenbach (Schw), Haus Kaiser"
1100122,8.0709,47.823961,"Menzenschwand, Mitteldorf"
1100123,8.070155,47.81749,"Menzenschwand, Vorderdorf"
1100124,8.070029,47.829271,"Menzenschwand, Hinterdorf"
1100125,8.021641,47.807265,"Bernau (Schw), Poche"
1100126,8.06716,47.795787,"Bernau (Schw), Goldbach"
1100127,7.779565,47.563878,"Rheinfelden (D), Haberbusch"
1100128,7.776927,47.567543,"Nollingen, Holbeinstrasse"
1100129,7.77476,47.570408,"Nollingen, Hebelhalle"
1100130,7.773574,47.573347,"Nollingen, Dürerstrasse"
1100131,7.770124,47.573058,"Nollingen, Sonne"
1100132,7.756139,47.5701,"Degerfelden, Wolfsgraben"
1100133,7.953041,47.767659,"Herrenschwand, Ort"
1100134,7.967661,47.775687,"Herrenschwand, Milchhäusle"
1100135,7.731623,47.577749,"Degerfelden, Sägemühle"
1100136,7.728583,47.588523,"Degerfelden, Hagenbach"
1100137,7.70255,47.600504,"Inzlingen, Waidhof"
1100138,7.675086,47.609683,"Lörrach, Ufhabiweg"
1100139,7.670213,47.609769,"Lörrach, Wallbrunnstrasse"
1100140,7.664597,47.610528,"Lörrach, Engelplatz"
1100143,7.736196,47.71303,"Endenburg, Rathaus"
1100144,7.743282,47.712217,"Endenburg, Schule"
1100145,7.75646,47.713656,Kirchhausen (Kr LÖ)
1100146,7.761129,47.710693,"Steinen (Kr LÖ), Lehnacker"
1100147,7.850853,47.821471,"Aitern, Belchenbahn Talstation"
1100148,7.746016,47.694395,"Hofen (Kr LÖ), Im Steinenberg"
1100149,7.748091,47.692348,"Hofen (Kr LÖ), Pflug"
1100150,7.74234,47.689856,"Schlächtenhaus, Schule"
1100151,7.738247,47.690495,Schlächtenhaus
1100152,7.749229,47.689311,"Hofen (Kr LÖ), Kirche"
1100153,7.757387,47.685845,"Weitenau (Baden), Vogelpark"
1100154,7.765906,47.677767,"Weitenau (Baden), Schule"
1100155,7.757815,47.671219,"Weitenau (Baden), Aussendorf"
1100156,7.742753,47.647696,"Steinen (Kr LÖ), Kandernerstr."
1100157,7.743261,47.643127,"Steinen (Kr LÖ), Schule"
1100158,7.741214,47.641835,"Steinen (Kr LÖ), Bahnhof"
1100159,7.740999,47.642548,"Steinen (Kr LÖ), Rathaus"
1100160,7.897917,47.820313,"Utzenfeld, Königshütte"
1100161,7.896928,47.831082,"Utzenfeld, Finstergrund"
